"species","Difference_late_minus_early_trend","LCI_90_Difference_late_minus_early_trend","UCI_90_Difference_late_minus_early_trend","prob_decreasing_trend","early_trend","LCI_early_trend","UCI_early_trend","late_trend","LCI_late_trend","UCI_late_trend"
"House Finch",-0.5,-1.4,0.4,0.86,0.3,0,0.5,-0.3,-1.1,0.5
"House Sparrow",0.6,0,1.2,0.02,-3.6,-3.8,-3.5,-3,-3.5,-2.4
"House Wren",0.5,-0.3,1.3,0.14,0.2,0,0.4,0.7,0,1.4
"Hudsonian Godwit",-1,-8.2,3,0.63,-2.7,-4.8,-0.6,-3.8,-10.2,0.2
"Hutton's Vireo",-0.4,-1.5,0.6,0.77,1.1,0.8,1.5,0.7,-0.3,1.6
"Inca Dove",-1.7,-3.9,0.5,0.94,2,1.4,2.5,0.3,-1.7,2.2
"Indigo Bunting",-0.4,-0.8,0,0.97,-0.7,-0.8,-0.6,-1.1,-1.5,-0.7
"Juniper Titmouse",0.2,-1,1.5,0.37,0.6,0.1,1,0.8,-0.3,2
"Kentucky Warbler",0.5,-0.2,1.3,0.08,-0.9,-1.2,-0.7,-0.4,-1.1,0.3
"Killdeer",0.6,0.1,1.1,0.01,-1,-1.2,-0.9,-0.4,-0.9,0
"King Eider",-1.8,-10.2,4.5,0.71,-6.2,-8.9,-3.1,-8,-14.6,-2.1
"King Rail",0.2,-1.9,2.8,0.47,-4.5,-5.3,-3.6,-4.3,-6.1,-1.7
"Ladder-backed Woodpecker",0.2,-0.4,0.9,0.2,0.2,0,0.4,0.5,-0.1,1.1
"Lapland Longspur",0,-6.4,6.7,0.49,-0.4,-4.7,3.8,-0.4,-5.6,4.7
"Lark Bunting",1.4,-1,5.4,0.24,-3.2,-4,-2.5,-1.8,-4,1.8
"Lark Sparrow",0.9,0.1,1.7,0.01,-0.9,-1.1,-0.7,0,-0.7,0.7
"Laughing Gull",0.1,-2.8,3.1,0.49,1.8,0.6,3.1,1.9,-0.7,4.5
"Lawrence's Goldfinch",0.1,-1.8,2.3,0.45,-0.7,-1.5,0.2,-0.5,-2.2,1.3
"Lazuli Bunting",0.6,-0.2,1.7,0.07,0.3,0,0.5,0.9,0.2,1.8
"Least Bittern",0.3,-1.1,2.1,0.38,0.6,-0.1,1.2,0.8,-0.5,2.5
"Least Flycatcher",0,-0.6,0.5,0.56,-1.7,-1.9,-1.6,-1.8,-2.3,-1.2
"Least Sandpiper",0.5,-4.5,4.5,0.37,-0.4,-1.5,0.9,0.1,-4.1,3.5
"Least Tern",1.4,-1.3,6.1,0.21,-3.8,-5,-2.6,-2.3,-4.8,1.9
"LeConte's Sparrow",-0.1,-1.6,1.3,0.58,-2.2,-2.8,-1.6,-2.3,-3.6,-1.1
"LeConte's Thrasher",0.4,-1.4,3.1,0.36,-2.1,-2.9,-1.3,-1.7,-3.4,0.8
"Lesser Goldfinch",0.2,-1.2,1.5,0.33,0.9,0.5,1.3,1.1,-0.2,2.2
"Lesser Nighthawk",0.1,-1.2,1.6,0.46,0.1,-0.5,0.6,0.1,-1,1.4
"Lesser Scaup",3,0.4,6.1,0.01,-1.5,-2.3,-0.7,1.5,-0.8,4.3
"Lesser Yellowlegs",-0.6,-5,2.3,0.6,-2.5,-3.5,-1.1,-3,-6.4,-0.3
"Lewis's Woodpecker",0.8,-0.8,3.1,0.2,-2.1,-2.7,-1.4,-1.3,-2.7,0.8
"Limpkin",14.8,9.4,20.5,0,-3.4,-5.6,-1,11.4,7.2,16.1
"Lincoln's Sparrow",-0.2,-1.5,1,0.66,0,-0.4,0.4,-0.2,-1.3,0.9
"Little Blue Heron",0.3,-0.7,1.4,0.29,-1.4,-1.7,-1.1,-1.2,-2,-0.1
"Loggerhead Shrike",1.6,0.8,2.7,0,-2.9,-3.1,-2.7,-1.3,-2.1,-0.3
"Long-billed Curlew",0.7,-0.3,2,0.11,-0.1,-0.5,0.3,0.6,-0.3,1.8
"Long-billed Dowitcher",-17.8,-29.9,-4.3,1,5.2,1,9.4,-12.6,-21.9,-2.4
"Long-billed Thrasher",0.1,-1.7,1.9,0.46,5.6,4.9,6.3,5.7,4,7.3
"Long-eared Owl",0.6,-1,2.7,0.25,-2.2,-3,-1.5,-1.7,-3,0.2
"Long-tailed Duck",0.6,-3.9,7,0.43,-3.2,-6.1,-0.6,-2.7,-6.6,2.7
"Louisiana Waterthrush",0.5,-0.1,1.3,0.07,0.7,0.5,0.9,1.2,0.6,1.9
"Lucy's Warbler",0,-1.7,1.9,0.48,1,0.3,1.7,1,-0.5,2.7
"MacGillivray's Warbler",0,-0.8,0.9,0.47,-0.9,-1.2,-0.7,-0.9,-1.6,-0.1
"Magnolia Warbler",0.2,-0.8,1.3,0.3,0.5,0.2,0.9,0.8,-0.1,1.7
"Mallard",5.2,3.7,6.6,0,-0.7,-1.1,-0.3,4.5,3.2,5.7
"Marbled Godwit",0.5,-0.5,1.5,0.15,-0.8,-1.1,-0.5,-0.3,-1.2,0.7
"Marbled Murrelet",0.3,-2.1,3.3,0.39,-0.3,-1.4,0.9,0.1,-2.2,2.6
"Marsh Wren",0.3,-0.9,1.9,0.31,2,1.5,2.4,2.3,1.1,3.7
"McCown's Longspur",1.7,-1.3,7.4,0.2,-4.5,-6,-3.2,-2.8,-5.7,2.1
"Merlin",0.2,-0.7,1.2,0.33,3.4,3,3.8,3.6,2.7,4.4
"Mew Gull",0.2,-3.3,4,0.45,-4.5,-6.5,-2.2,-4.3,-6.9,-1.3
"Mexican Jay",0.1,-7.2,6.9,0.5,-0.1,-4.1,4.2,0,-5.1,5.3
"Mississippi Kite",2.5,0.9,4.3,0,0.5,-0.2,1.2,3,1.7,4.5
"Monk Parakeet",-16.9,-26.5,-6.7,1,19.3,16.4,22.2,2.5,-5.7,11.9
"Mottled Duck",1.3,-0.4,3.7,0.09,-2.6,-3.4,-2,-1.3,-2.9,0.8
"Mountain Bluebird",0.6,-0.2,1.5,0.07,-0.5,-0.8,-0.2,0.1,-0.6,0.9
"Mountain Chickadee",0.1,-0.7,1.1,0.42,-1.5,-1.8,-1.2,-1.4,-2.1,-0.4
"Mountain Plover",0.6,-1.2,3.3,0.32,-3,-3.9,-2.1,-2.4,-4.1,0
"Mountain Quail",-0.6,-2.3,0.8,0.79,-0.4,-1,0.1,-1,-2.5,0.2
"Mourning Dove",0.1,-0.4,0.5,0.38,-0.4,-0.5,-0.2,-0.3,-0.7,0.1
"Mourning Warbler",0.5,-0.5,1.7,0.22,-1.3,-1.7,-1,-0.9,-1.8,0.3
"Mute Swan",0.2,-2.7,3.4,0.44,3.4,2.2,4.6,3.6,0.8,6.5
"Nashville Warbler",-0.3,-1.4,0.5,0.78,0.1,-0.2,0.4,-0.2,-1.2,0.5
"Nelson's Sparrow",0.5,-1,2.4,0.27,2.1,1.3,2.8,2.6,1.2,4.2
"Northern Bobwhite",3.6,2,5.1,0,-3.8,-4.1,-3.5,-0.3,-1.7,1.2
"Northern Cardinal",-0.1,-0.5,0.3,0.66,0.2,0.1,0.3,0.2,-0.2,0.5
"Northern Flicker",0.6,0.1,1.1,0.01,-1.3,-1.4,-1.2,-0.7,-1.1,-0.2
"Northern Fulmar",-0.2,-7.3,5.4,0.5,-1.2,-4.3,1.6,-1.4,-7.5,3.7
"Northern Gannet",-0.5,-4.7,2.6,0.61,5.6,4.1,7.1,5.1,1.1,7.9
"Northern Goshawk",0.1,-0.9,1.2,0.38,0.5,0.1,0.9,0.7,-0.3,1.6
"Northern Harrier",0.2,-0.3,0.9,0.19,-0.8,-1,-0.6,-0.6,-1.1,0
"Northern Mockingbird",0.2,-0.4,0.7,0.26,-0.6,-0.8,-0.5,-0.4,-0.9,0.1
"Northern Parula",1.8,1.1,2.6,0,0.8,0.6,1,2.6,2,3.4
"Northern Pintail",1.8,-0.8,4.7,0.09,-1.9,-2.5,-1.3,-0.1,-2.4,2.4
"Northern Pygmy-Owl",0.2,-0.9,1.4,0.34,0.6,0.1,1,0.8,-0.2,1.8
"Northern Rough-winged Swallow",0.4,-0.2,1,0.08,-0.5,-0.7,-0.3,-0.1,-0.6,0.5
"Northern Saw-whet Owl",-0.3,-2.1,1.4,0.63,2,1.2,2.7,1.7,0.1,3.1
"Northern Shoveler",0.1,-2.1,2.5,0.46,1.6,1,2.2,1.8,-0.3,3.9
"Northern Shrike",0.1,-0.6,1,0.37,-0.5,-0.8,-0.3,-0.4,-1.1,0.3
"Northern Waterthrush",0.3,-0.5,1.3,0.22,0.8,0.5,1.1,1.1,0.4,2
"Northwestern Crow",0,-1.4,1.6,0.5,0.1,-0.5,0.8,0.2,-1.3,1.6
"Nuttall's Woodpecker",-0.3,-1.4,0.8,0.7,1.1,0.8,1.5,0.9,-0.1,1.9
"Oak Titmouse",0.1,-1.1,1.5,0.45,-1.4,-1.8,-0.9,-1.3,-2.4,0
"Olive-sided Flycatcher",0.8,0,1.9,0.03,-3.1,-3.4,-2.8,-2.3,-3,-1.3
"Olive Sparrow",-0.8,-4.9,1.9,0.64,3.7,2.8,4.6,2.8,-0.9,5.3
"Orange-crowned Warbler",0.3,-0.6,1.4,0.28,-0.9,-1.3,-0.6,-0.6,-1.5,0.4
"Orchard Oriole",0.2,-0.5,1,0.27,-0.8,-1,-0.7,-0.6,-1.3,0.1
"Osprey",1.3,0.3,2.4,0.01,2.8,2.4,3.1,4,3.1,5
"Ovenbird",0.1,-0.4,0.7,0.36,0,-0.2,0.2,0.1,-0.4,0.7
"Pacific-slope Flycatcher",0.3,-0.7,1.8,0.31,-0.3,-0.7,0,0,-0.9,1.3
"Pacific Golden-Plover",-0.2,-8.2,7,0.51,-1.1,-5.8,4,-1.3,-7.3,4.4
"Pacific Wren",-1.5,-3.5,0.7,0.92,-0.3,-0.9,0.3,-1.7,-3.5,0
"Painted Bunting",0.9,-0.3,2.1,0.07,-0.6,-0.9,-0.3,0.3,-0.8,1.4
"Palm Warbler",4.8,2,7.9,0,-1,-2.1,0,3.9,1.5,6.4
"Pectoral Sandpiper",-1.7,-6.4,1.3,0.84,-1.3,-2.6,0.1,-3.1,-6.9,-0.4
"Pelagic Cormorant",0.5,-2.5,4.9,0.4,-2.5,-4.4,-0.7,-2,-4.9,1.9
"Peregrine Falcon",0.2,-1.3,2,0.4,5.6,4.8,6.4,5.9,4.5,7.4
"Phainopepla",0.6,-0.8,2.9,0.24,0.4,-0.2,1,1,-0.2,3
"Philadelphia Vireo",0.9,-0.8,4.5,0.23,1.9,1,2.7,2.8,1.2,5.9
"Pied-billed Grebe",1.3,-1.1,3.8,0.15,0.4,-0.2,1,1.7,-0.5,3.9
"Pigeon Guillemot",0.1,-2.5,2.9,0.5,0.7,-0.5,1.9,0.7,-1.6,3.3
"Pileated Woodpecker",0.4,0,0.9,0.03,1.5,1.3,1.6,1.9,1.5,2.3
"Pine Grosbeak",0.4,-4.5,6.7,0.44,-1.2,-4.5,1.3,-0.8,-4.7,3.2
"Pine Siskin",-0.6,-2.9,2,0.71,-3.1,-3.8,-2.3,-3.6,-5.7,-1.2
"Pine Warbler",-1,-1.9,0,0.97,1.1,0.8,1.4,0.1,-0.7,1
"Pinyon Jay",0.3,-1.1,2.1,0.37,-3.4,-3.9,-2.8,-3.1,-4.3,-1.4
"Plumbeous Vireo",1.8,0.1,3.9,0.02,-1,-1.7,-0.4,0.8,-0.6,2.5
"Prairie Falcon",0.1,-0.7,1,0.36,1.2,0.9,1.5,1.4,0.6,2.2
"Prairie Warbler",0.8,0.1,1.7,0.01,-1.8,-2,-1.6,-0.9,-1.6,-0.2
"Prothonotary Warbler",0.5,-0.2,1.5,0.08,-1.2,-1.4,-0.9,-0.6,-1.3,0.2
"Purple Finch",0.6,-0.1,1.6,0.05,-1.3,-1.5,-1.1,-0.7,-1.4,0.2
"Purple Gallinule",1,-1.3,4.8,0.25,-1.9,-3.1,-0.9,-1,-3.2,2.5
"Purple Martin",0.4,-0.3,1.1,0.12,-0.8,-1,-0.6,-0.4,-1,0.2
"Purple Sandpiper",0.6,-1.6,4,0.33,-1,-2.2,0.2,-0.3,-2.5,2.5
"Pygmy Nuthatch",0.2,-1.3,1.9,0.41,-0.5,-1.2,0.2,-0.3,-1.6,1.2
"Pyrrhuloxia",0.2,-0.9,1.5,0.34,-1.5,-2,-1.1,-1.3,-2.3,-0.2
"Razorbill",-1.2,-10.7,5.1,0.61,12.2,9.1,15.2,11,1.8,16.9
"Red-bellied Woodpecker",0.4,0,0.8,0.03,1,0.8,1.1,1.3,1,1.7
"Red-breasted Merganser",0.6,-2.6,5.7,0.38,-3,-4.6,-1.3,-2.3,-5.3,1.9
"Red-breasted Nuthatch",-1.1,-2.5,0.1,0.97,1.5,1.1,1.9,0.4,-0.9,1.4
"Red-breasted Sapsucker",0.4,-0.8,2,0.32,1.2,0.8,1.7,1.6,0.5,3.2
"Red-cockaded Woodpecker",1.4,-1.4,6.2,0.21,-2.4,-3.6,-1.2,-1,-3.7,3.1
"Red-eyed Vireo",0.1,-0.4,0.5,0.39,0.8,0.7,0.9,0.9,0.5,1.3
"Red-faced Cormorant",3.4,-1.4,13,0.17,-4.1,-6.6,-1.7,-0.7,-5.7,7.9
"Red-faced Warbler",0.3,-6.2,6.7,0.46,-1.8,-5.7,1.9,-1.5,-6,2.9
"Red-headed Woodpecker",2.1,1.3,2.9,0,-2.3,-2.4,-2.1,-0.2,-0.9,0.6
"Red-naped Sapsucker",-0.3,-1.6,1,0.7,1.2,0.7,1.6,0.9,-0.3,2
"Red-necked Grebe",2.7,0.5,5.6,0,0.3,-0.3,0.9,3.1,1.1,5.7
"Red-shouldered Hawk",0.3,-0.3,0.8,0.16,2.9,2.7,3.1,3.2,2.7,3.7
"Red-tailed Hawk",-0.1,-0.5,0.3,0.66,1.6,1.5,1.7,1.6,1.2,1.9
"Red-throated Loon",0.1,-5.2,5.7,0.49,1.2,-1.8,4.4,1.3,-2.6,5.6
"Red-winged Blackbird",0.6,0.1,1.1,0.01,-1.1,-1.2,-0.9,-0.5,-0.9,0
"Red Crossbill",0.1,-1.3,1.7,0.47,0.1,-0.5,0.7,0.2,-1,1.6
"Red Knot",2.7,-3.4,9.2,0.16,-5.9,-7.7,-3.9,-3.2,-8.2,2.8
"Reddish Egret",-0.2,-2,1.5,0.57,1.3,0.6,1.9,1.1,-0.5,2.6
"Redhead",1.8,-0.2,3.8,0.04,1.2,0.7,1.7,3,1.3,4.8
"Rhinoceros Auklet",-1.1,-6.9,2.3,0.7,2.2,0.9,3.9,1.1,-3.6,4.2
"Ring-billed Gull",-0.1,-1.5,1.3,0.54,1.5,1,2,1.5,0.1,2.6
"Ring-necked Duck",0.5,-1.4,3,0.31,3.2,2.3,4.1,3.7,1.9,5.8
"Ring-necked Pheasant",0.4,-1,1.4,0.23,-0.6,-0.9,-0.3,-0.2,-1.5,0.7
"Rock Pigeon",0.8,0.2,1.6,0,-1.2,-1.4,-1,-0.3,-0.9,0.4
"Rock Sandpiper",0.6,-3.7,6.7,0.41,-1.9,-5,0.6,-1.3,-5.4,3.5
"Rock Wren",0,-0.8,0.9,0.48,-1.3,-1.5,-0.9,-1.2,-1.9,-0.4
"Rose-breasted Grosbeak",-0.1,-1,0.7,0.58,-0.8,-1,-0.5,-0.9,-1.6,-0.2
"Roseate Spoonbill",0.8,-2.1,4.1,0.26,7.1,5.9,8.2,7.9,4.9,10.9
"Ross's Goose",-17,-26.9,-7.8,1,17.5,9.9,26.2,0.5,-3.4,4.5
"Rough-legged Hawk",1.3,0.1,2.7,0.01,-0.2,-0.5,0.1,1.1,0.1,2.3
"Royal Tern",0.7,-1.5,5.5,0.33,0,-1.2,1.3,0.8,-1.6,4.9
"Ruby-crowned Kinglet",0.4,-0.5,1.6,0.21,0.4,0,0.7,0.8,-0.1,1.8
"Ruby-throated Hummingbird",-0.4,-1,0.1,0.94,1.4,1.3,1.5,1,0.4,1.4
"Ruddy Duck",0.2,-1.6,2.1,0.4,1.6,0.9,2.2,1.8,0.1,3.4
"Ruddy Turnstone",-0.1,-3.5,3,0.54,-4.4,-5.6,-3,-4.6,-7.6,-1.6
"Ruffed Grouse",0.2,-0.9,1.4,0.31,0.3,-0.1,0.7,0.5,-0.5,1.5
"Rufous-crowned Sparrow",0.4,-0.8,2.1,0.27,-0.8,-1.3,-0.3,-0.4,-1.5,1.1
"Rufous Hummingbird",0.2,-0.7,1.1,0.35,-2.1,-2.4,-1.8,-1.9,-2.7,-1.1
"Rusty Blackbird",0.7,-1.4,4.3,0.3,-3.8,-4.7,-2.9,-3.1,-5,0.4
"Sage Thrasher",0,-1.1,1.3,0.48,-1.2,-1.6,-0.8,-1.1,-2.1,0
"Sagebrush Sparrow",0.2,-1.4,1.9,0.42,-0.2,-0.9,0.4,0,-1.5,1.5
"Sanderling",-0.7,-4.5,1.6,0.68,-3.1,-4.2,-2.1,-3.8,-7.2,-1.7
"Sandhill Crane",1.7,0.3,3.2,0.01,4.7,4.3,5.2,6.4,5.2,7.7
"Sandwich Tern",0.5,-1.4,3,0.32,1,0.2,1.8,1.5,-0.3,3.8
"Savannah Sparrow",-0.3,-1.2,0.5,0.78,-1.3,-1.6,-1.1,-1.6,-2.4,-0.9
"Say's Phoebe",0.1,-0.5,0.8,0.33,1,0.8,1.2,1.1,0.5,1.7
"Scaled Quail",6.5,1.1,11.5,0,-1.9,-3,-0.9,4.5,-0.6,9.5
"Scarlet Tanager",-0.1,-0.7,0.4,0.6,-0.2,-0.4,-0.1,-0.3,-0.9,0.1
"Scissor-tailed Flycatcher",0.2,-0.5,1.3,0.32,-0.6,-0.9,-0.4,-0.4,-1.1,0.6
"Scott's Oriole",0,-1.1,1.2,0.47,-0.8,-1.2,-0.4,-0.8,-1.7,0.2
"Seaside Sparrow",1.7,-1.6,6.8,0.2,1.4,0,2.7,3.1,0,7.8
"Sedge Wren",-1,-2.8,0.5,0.9,1.2,0.7,1.6,0.2,-1.4,1.5
"Semipalmated Plover",0.3,-1.5,2.2,0.4,-0.4,-1.1,0.4,-0.1,-1.8,1.6
"Semipalmated Sandpiper",3,-1.2,8.2,0.09,-3.5,-4.9,-2.1,-0.5,-4.3,4.1
"Sharp-shinned Hawk",0,-0.8,0.7,0.48,1.2,0.9,1.4,1.2,0.5,1.9
"Sharp-tailed Grouse",0.9,-0.4,2.7,0.1,0.6,0.1,1.1,1.5,0.4,3.1
"Short-billed Dowitcher",-2.8,-13,5.9,0.7,-1.7,-4.1,1,-4.5,-12.7,2.9
"Short-eared Owl",1,-0.8,3.6,0.18,-1.7,-2.5,-0.9,-0.7,-2.4,1.6
"Smith's Longspur",0.1,-3.6,4.4,0.5,0.9,-1.2,3,1,-2.4,5.1
"Snow Bunting",1.2,-1,5,0.2,-1.7,-3,-0.5,-0.4,-2.5,2.6
"Snow Goose",-8.7,-11.4,-5.7,1,7.1,6.3,8,-1.6,-4,1
"Snowy Egret",0.3,-1.3,2,0.36,2.1,1.4,2.7,2.3,0.8,4
"Snowy Owl",2.9,0.2,6.4,0.01,-1.9,-2.7,-1.2,1,-1.3,4
"Snowy Plover",0.2,-1.4,2.4,0.41,0.3,-0.4,1.1,0.5,-0.9,2.5
"Solitary Sandpiper",0.2,-1.5,2.1,0.39,0.6,-0.2,1.4,0.8,-0.5,2.5
"Song Sparrow",-0.3,-0.9,0.3,0.84,-0.7,-0.9,-0.6,-1.1,-1.6,-0.5
"Sooty Grouse",0.4,-1,2.1,0.3,-1.1,-1.7,-0.5,-0.7,-2,0.8
"Sora",0.9,-2.4,4.1,0.27,0.3,-0.5,1.1,1.2,-1.6,4
"Spotted Sandpiper",0.5,-0.2,1.2,0.09,-1.5,-1.7,-1.3,-1,-1.6,-0.4
"Spotted Towhee",0,-0.8,0.9,0.48,-0.2,-0.5,0.1,-0.1,-0.9,0.6
"Sprague's Pipit",0,-1.9,1.5,0.5,-3.1,-3.7,-2.5,-3.1,-4.8,-1.7
"Spruce Grouse",0.1,-2.9,3.3,0.49,1.4,-0.1,2.9,1.4,-1,4.2
"Steller's Eider",-0.5,-7.5,5.2,0.56,-3,-6.2,0.1,-3.4,-10.1,1.4
"Steller's Jay",-0.1,-0.8,0.6,0.58,-0.2,-0.4,-0.1,-0.3,-0.9,0.2
"Stilt Sandpiper",-0.7,-7.9,3.1,0.54,-1.3,-2.8,0.9,-2,-7.6,1.4
"Summer Tanager",0.4,0,0.9,0.04,0.2,0.1,0.3,0.6,0.2,1.1
"Surf Scoter",0.2,-1.4,1.9,0.4,0.2,-0.5,0.8,0.4,-1,1.9
"Surfbird",0.3,-2.1,3.2,0.4,-1.4,-2.6,-0.2,-1.1,-3.1,1.3
"Swainson's Hawk",0.8,0.1,1.6,0.01,0.8,0.6,1,1.6,1,2.3
"Swainson's Thrush",0.1,-0.6,0.9,0.36,-0.7,-0.9,-0.5,-0.5,-1.2,0.2
"Swainson's Warbler",1.2,0,2.6,0.03,1.8,1.3,2.2,3,1.9,4.3
"Swallow-tailed Kite",0.1,-1.2,1.5,0.44,5.7,5.2,6.1,5.7,4.6,6.9
"Swamp Sparrow",0.2,-0.7,1.2,0.3,1.1,0.7,1.4,1.3,0.5,2.1
"Tennessee Warbler",0.7,-0.7,2.7,0.22,-1.4,-2.1,-0.7,-0.7,-1.9,1.1
"Thick-billed Murre",-0.9,-8.3,5.4,0.62,-2.7,-5.3,-0.1,-3.6,-9.7,1.7
"Townsend's Solitaire",0.4,-0.4,1.3,0.15,0.3,-0.1,0.5,0.7,0,1.5
"Townsend's Warbler",0.1,-1.2,1.5,0.46,-0.8,-1.2,-0.3,-0.7,-1.9,0.6
"Tree Swallow",1.1,0.5,1.7,0,-1.3,-1.6,-1.2,-0.3,-0.8,0.3
"Tricolored Blackbird",0.2,-4.3,5.4,0.48,-0.5,-2.9,1.6,-0.3,-4.2,3.9
"Tricolored Heron",0.1,-1.1,1.6,0.41,-0.5,-1,0,-0.3,-1.5,0.9
"Trumpeter Swan",-0.3,-4.3,2.5,0.56,7.8,4.1,13.6,7.5,4.4,11.5
"Tufted Titmouse",0.1,-0.5,0.9,0.36,1,0.8,1.2,1.2,0.5,1.8
"Tundra Swan",0.7,-1.4,4.2,0.28,0,-1,1.1,0.7,-1.3,3.8
"Turkey Vulture",0.8,0.2,1.4,0,2.3,2.2,2.5,3.1,2.6,3.6
"Upland Sandpiper",0.5,-0.3,1.4,0.11,0.4,0.2,0.6,0.9,0.2,1.7
"Varied Bunting",-0.2,-4.6,3.9,0.54,1.8,-0.6,4.2,1.6,-1.4,4.6
"Varied Thrush",-0.3,-1.6,1,0.67,-2.1,-2.5,-1.7,-2.4,-3.6,-1.2
"Vaux's Swift",0.2,-0.9,1.7,0.36,-1.1,-1.6,-0.6,-0.9,-2,0.4
"Veery",0.5,-0.2,1.3,0.07,-1.2,-1.4,-1,-0.7,-1.3,0.1
"Verdin",0.4,-0.8,2,0.3,-1.2,-1.8,-0.8,-0.9,-2,0.6
"Vermilion Flycatcher",0.3,-1.1,1.8,0.34,1.1,0.6,1.6,1.4,0.2,2.7
"Vesper Sparrow",0.1,-0.5,0.8,0.32,-0.9,-1.1,-0.7,-0.8,-1.4,-0.2
"Violet-green Swallow",0.1,-0.8,0.9,0.42,-0.8,-1,-0.5,-0.7,-1.6,0.1
"Virginia's Warbler",0.3,-1.3,2.1,0.38,-2.1,-2.9,-1.3,-1.8,-3.1,-0.3
"Virginia Rail",0.5,-1,2.1,0.25,1.3,0.8,1.8,1.8,0.4,3.2
"Wandering Tattler",-0.3,-2.9,2.4,0.64,-4.3,-5.2,-3.4,-4.7,-7,-2
"Warbling Vireo",-0.1,-0.8,0.6,0.55,0.9,0.7,1.1,0.8,0.2,1.4
"Western Bluebird",0.3,-0.6,1.3,0.25,0.7,0.4,1.1,1,0.3,1.9
"Western Grebe",1.5,-0.6,4.6,0.11,-2.9,-3.8,-2,-1.4,-3.3,1.3
"Western Gull",0.7,-2.6,6,0.36,-1.6,-3.8,0.3,-0.9,-4.5,3.5
"Western Kingbird",-0.9,-2,0.2,0.93,0.2,0,0.5,-0.6,-1.7,0.3
"Western Meadowlark",0.3,-0.3,0.9,0.16,-1.2,-1.4,-1.1,-0.9,-1.4,-0.4
"Western Sandpiper",0.2,-2,2.7,0.44,-0.2,-1.2,0.7,-0.1,-2.1,2.2
"Western Screech-Owl",0.6,-0.8,2.8,0.23,-1.1,-1.7,-0.5,-0.5,-1.8,1.3
"Western Tanager",0.3,-0.5,1,0.23,1,0.7,1.2,1.2,0.5,1.9
"Western Wood-Pewee",1.2,0.3,2.2,0,-1.8,-2.1,-1.4,-0.6,-1.4,0.4
"Whimbrel",-5.4,-11.3,-0.5,0.99,-0.8,-2.2,0.8,-6.2,-11.1,-2.1
"White-breasted Nuthatch",-0.2,-0.9,0.3,0.76,1.9,1.7,2.1,1.7,1.1,2.2
"White-crowned Sparrow",0.4,-0.6,1.9,0.22,-0.3,-0.8,0.1,0.1,-0.8,1.3
"White-eyed Vireo",0.4,-0.2,0.9,0.1,0.7,0.5,0.8,1,0.5,1.6
"White-faced Ibis",5.4,-0.6,13.5,0.05,1.7,-0.3,3.6,7.1,1.7,14.3
"White-headed Woodpecker",0.1,-1,1.4,0.39,0.9,0.5,1.3,1,0,2.1
"White-rumped Sandpiper",-0.7,-4.4,2.3,0.67,1.2,-0.3,2.8,0.5,-2.6,3.4
"White-tailed Kite",0.2,-1.3,1.9,0.4,-1.4,-1.9,-0.8,-1.2,-2.5,0.4
"White-throated Sparrow",-0.3,-1.2,0.4,0.77,-1,-1.2,-0.7,-1.3,-2.1,-0.6
"White-throated Swift",0.2,-1.2,1.7,0.4,-0.5,-1.1,0.1,-0.3,-1.5,1
"White-winged Crossbill",-0.8,-5.2,1.9,0.68,2.8,1.4,4.2,1.9,-1.8,4.5
"White-winged Dove",0.6,-0.7,2.4,0.2,1.1,0.5,1.7,1.7,0.5,3.3
"White-winged Scoter",0.2,-2.5,3.6,0.45,-0.4,-2,1.1,-0.2,-2.8,2.5
"White Ibis",1.4,-1.4,5,0.17,4,2.9,5,5.4,2.7,8.6
"Wild Turkey",-0.8,-2.2,0.6,0.86,8,7.5,8.5,7.2,6,8.4
"Willet",0.2,-0.7,1.1,0.34,-0.6,-0.9,-0.3,-0.4,-1.2,0.4
"Williamson's Sapsucker",0,-1.1,1.3,0.49,0.3,-0.2,0.8,0.3,-0.7,1.4
"Willow Flycatcher",0.3,-0.4,1.1,0.23,-0.7,-1,-0.5,-0.5,-1.1,0.3
"Willow Ptarmigan",-0.2,-9.3,8.9,0.52,0.5,-4.5,6.2,0.3,-5.4,6.8
"Wilson's Phalarope",0.9,-0.5,2.7,0.12,-0.3,-0.9,0.2,0.6,-0.7,2.2
"Wilson's Plover",5.6,0.8,11.1,0.01,-2.6,-3.8,-1.5,3,-1.6,8.1
"Wilson's Snipe",1.8,0.7,2.9,0,0,-0.3,0.3,1.8,0.9,2.8
"Wilson's Warbler",0.5,-0.4,1.5,0.15,-1.7,-2,-1.4,-1.2,-2,-0.2
"Winter Wren",-2.1,-4.3,-0.2,0.98,0.9,0.4,1.5,-1.2,-3,0.5
"Wood Duck",0.2,-0.4,0.8,0.27,1.8,1.6,1.9,1.9,1.4,2.5
"Wood Stork",0.4,-1.5,3.1,0.35,1.1,0.2,2.1,1.6,-0.3,4
"Wood Thrush",0.7,0,1.5,0.02,-1.9,-2.1,-1.8,-1.2,-1.9,-0.5
"Woodhouse's Scrub-Jay",-0.3,-1.2,0.5,0.81,-0.1,-0.4,0.1,-0.5,-1.2,0.3
"Worm-eating Warbler",0.5,-0.4,1.4,0.11,0.3,0,0.6,0.8,0,1.7
"Wrentit",-0.1,-1.1,0.9,0.55,-0.7,-1,-0.3,-0.8,-1.7,0.2
"Yellow-bellied Flycatcher",1.3,-0.2,3.6,0.06,2.1,1.4,2.7,3.4,2,5.4
