"species","Difference_late_minus_early_trend","LCI_90_Difference_late_minus_early_trend","UCI_90_Difference_late_minus_early_trend","prob_decreasing_trend","early_trend","LCI_early_trend","UCI_early_trend","late_trend","LCI_late_trend","UCI_late_trend"
"Black-legged Kittiwake",0.8,-2.1,5.6,0.34,-1.9,-3.5,-0.4,-1.1,-3.9,3
"Black-necked Stilt",0.4,-1.5,2.6,0.35,2.2,1.5,2.9,2.6,0.8,4.6
"Black-tailed Gnatcatcher",0.2,-1.5,2.5,0.45,0.2,-0.6,0.9,0.3,-1.1,2.5
"Black-throated Blue Warbler",0,-1.1,1,0.45,1.6,1.3,1.9,1.7,0.6,2.5
"Black-throated Gray Warbler",0.2,-1,1.7,0.39,-1.2,-1.7,-0.7,-1,-2,0.4
"Black-throated Green Warbler",-0.3,-1.3,0.7,0.69,0.5,0.1,0.8,0.2,-0.8,1
"Black-throated Sparrow",0.2,-0.9,1.5,0.39,-1.2,-1.6,-0.8,-1,-2,0.2
"Black-whiskered Vireo",0,-7.2,6.9,0.5,-0.5,-4.7,4,-0.5,-6,4.7
"Black Guillemot",-0.2,-5,4.1,0.54,2.5,0.3,4.8,2.3,-2,6.4
"Black Oystercatcher",0.7,-2.1,4,0.32,3.3,2.1,4.4,3.9,1.2,6.9
"Black Phoebe",0.1,-1.4,1.5,0.44,2.6,2.1,3,2.6,1.3,4
"Black Scoter",0.4,-3.1,4.9,0.43,-1.9,-4,0.1,-1.6,-5.1,2.2
"Black Skimmer",1.1,-1.8,6.5,0.3,-3.2,-4.8,-1.5,-2,-4.9,2.5
"Black Swift",0.5,-2.2,4.4,0.39,-5.6,-6.9,-4.3,-5.2,-7.8,-1.4
"Black Tern",3.8,1,7,0.01,-2.4,-3.2,-1.6,1.4,-1.2,4.3
"Black Turnstone",0,-1.7,1.6,0.51,-0.3,-1,0.3,-0.3,-1.8,1.1
"Black Vulture",0.7,-0.3,1.7,0.08,4.6,4.3,4.9,5.3,4.4,6.2
"Blackburnian Warbler",0.4,-0.3,1.4,0.17,0.2,-0.1,0.4,0.5,-0.1,1.4
"Blackpoll Warbler",0.9,-2.2,5.5,0.3,-4.8,-6.2,-3.3,-3.9,-6.5,0.1
"Blue-gray Gnatcatcher",-0.3,-0.9,0.3,0.83,0.4,0.2,0.5,0.1,-0.5,0.6
